Date|Company|Closing Price|Volume Transacted|TY Highest|TY Lowest
2020-02-26|ADBL|453|88,846|453.00|290.00
2020-02-26|AHPC|104|67,190|125.00|89.00
2020-02-26|AKJCL|61|1,560|89.00|50.00
2020-02-26|AKPL|144|71,470|220.00|106.00
2020-02-26|ALBSL|880|3,991|936.00|300.00
2020-02-26|ALICL|701|92,597|720.00|304.00
2020-02-26|API|154|224,163|178.00|100.00
2020-02-26|BARUN|103|8,093|107.00|76.00
2020-02-26|BBC|2030|3,034|2,289.00|1,310.00
2020-02-26|BFC|112|32,430|117.00|81.00
2020-02-26|BNT|8600|545|9,274.00|6,011.00
2020-02-26|BOKL|274|98,438|299.00|210.00
2020-02-26|BPCL|403|45,997|459.00|300.00
2020-02-26|CBBL|1330|33,432|1,343.00|751.00
2020-02-26|CBL|157|293,160|175.00|134.00
2020-02-26|CCBL|199|204,678|206.00|150.00
2020-02-26|CFCL|154|6,067|163.00|104.00
2020-02-26|CHCL|472|42,396|578.00|344.00
2020-02-26|CHL|101|813|109.00|74.00
2020-02-26|CIT|3110|21,275|3,164.00|1,678.00
2020-02-26|CLBSL|1387|15,231|1,393.00|438.00
2020-02-26|CMF1|10.35|60,900|10.50|8.47
2020-02-26|CORBL|139|1,400|147.00|90.00
2020-02-26|CZBIL|219|108,347|243.00|178.00
2020-02-26|DDBL|1040|26,325|1,100.00|567.00
2020-02-26|DHPL|57|8,944|95.00|49.00
2020-02-26|EBL|800|48,869|800.00|505.00
2020-02-26|EBLCP|671|532|740.00|566.00
2020-02-26|EDBL|400|8,871|420.00|257.00
2020-02-26|EIC|483|52,070|1,050.00|204.00
2020-02-26|FMDBL|671|49,994|704.00|298.00
2020-02-26|FOWAD|1990|10,995|2,000.00|1,055.00
2020-02-26|GBBL|273|170,441|280.00|179.00
2020-02-26|GBIME|296|262,409|331.00|245.00
2020-02-26|GBLBS|638|87,201|663.00|282.00
2020-02-26|GFCL|171|4,877|177.00|111.00
2020-02-26|GGBSL|960|670|1,013.00|231.00
2020-02-26|GHL|83|1,281|241.00|62.00
2020-02-26|GILB|1645|3,965|1,690.00|664.00
2020-02-26|GIMES1|9.38|10,194|10.05|6.50
2020-02-26|GLBSL|855|1,410|888.00|279.00
2020-02-26|GLICL|1026|101,996|1,028.00|339.00
2020-02-26|GMFBS|1042|3,314|1,070.00|237.00
2020-02-26|GMFIL|140|23,978|155.00|111.00
2020-02-26|GRDBL|139|6,055|146.00|98.00
2020-02-26|GUFL|141|28,619|147.00|101.00
2020-02-26|HBL|635|36,251|644.00|422.00
2020-02-26|HDHPC|126|10|130.00|126.00
2020-02-26|HDL|1880|87,081|2,070.00|1,123.00
2020-02-26|HGI|480|33,837|503.00|232.00
2020-02-26|HIDCL|157|84,944|182.00|128.00
2020-02-26|HPPL|165|2,555|210.00|126.00
2020-02-26|HURJA|113|718|168.00|96.00
2020-02-26|ICFC|216|26,403|224.00|143.00
2020-02-26|IGI|524|17,740|550.00|253.00
2020-02-26|ILBS|953|6,275|1,000.00|312.00
2020-02-26|JBBL|204|63,094|214.00|133.00
2020-02-26|JFL|189|4,580|207.00|157.00
2020-02-26|JOSHI|70|4,420|182.00|51.00
2020-02-26|JSLBB|1921|6,666|2,480.00|865.00
2020-02-26|KBL|216|205,774|269.00|174.00
2020-02-26|KKHC|61|700|82.00|49.00
2020-02-26|KMCDB|1096|15,353|1,188.00|316.00
2020-02-26|KPCL|122|18,125|122.00|74.00
2020-02-26|KRBL|123|7,712|135.00|90.00
2020-02-26|KSBBL|180|44,397|188.00|131.00
2020-02-26|LBBL|214|74,433|216.00|145.00
2020-02-26|LBL|257|86,239|263.00|182.00
2020-02-26|LEMF|8.94|42,600|9.37|6.58
2020-02-26|LGIL|590|38,831|604.00|290.00
2020-02-26|LICN|1740|48,575|1,953.00|801.00
2020-02-26|LLBS|1350|7,712|1,375.00|563.00
2020-02-26|LVF1|10.08|112,700|11.09|8.35
2020-02-26|MBL|272|117,190|295.00|205.00
2020-02-26|MDB|427|7,410|450.00|219.00
2020-02-26|MEGA|244|184,221|245.00|155.00
2020-02-26|MERO|808|28,031|834.00|402.00
2020-02-26|MFIL|255|101,971|276.00|109.00
2020-02-26|MHNL|96|1,490|114.00|74.00
2020-02-26|MLBBL|910|1,881|944.00|392.00
2020-02-26|MLBL|250|25,075|255.00|155.00
2020-02-26|MNBBL|383|99,093|400.00|269.00
2020-02-26|MPFL|129|15,627|262.00|97.00
2020-02-26|MSMBS|941|3,491|988.00|400.00
2020-02-26|NABIL|870|83,212|900.00|660.00
2020-02-26|NADEP|815|17,953|857.00|377.00
2020-02-26|NBB|232|121,177|242.00|181.00
2020-02-26|NBF2|9.69|26,500|10.00|8.92
2020-02-26|NBL|308|589,988|355.00|262.00
2020-02-26|NCCB|213|199,305|276.00|191.00
2020-02-26|NCCBPO|122|100,000|130.00|118.00
2020-02-26|NEF|9.5|105,206|9.88|7.15
2020-02-26|NFS|150|6,537|179.00|122.00
2020-02-26|NGPL|149|64,391|158.00|97.00
2020-02-26|NHDL|170|4,620|171.00|90.00
2020-02-26|NHPC|68|135,744|82.00|50.00
2020-02-26|NIB|450|74,215|610.00|368.00
2020-02-26|NIBLPF|8.71|25,713|9.06|6.54
2020-02-26|NIBPO|379|39,840|552.00|302.00
2020-02-26|NIBSF1|10.35|125,805|10.55|8.10
2020-02-26|NICA|610|166,838|619.00|351.00
2020-02-26|NICBF|9.35|4,400|10.30|8.69
2020-02-26|NICGF|10.11|96,800|10.35|8.14
2020-02-26|NICL|536|203,699|551.00|235.00
2020-02-26|NIL|695|161,034|717.00|349.00
2020-02-26|NLBBL|920|12,252|971.00|440.00
2020-02-26|NLG|754|11,568|918.00|482.00
2020-02-26|NLIC|1494|150,286|1,499.00|749.00
2020-02-26|NLICL|852|88,797|852.00|407.00
2020-02-26|NMB|484|148,457|499.00|302.00
2020-02-26|NMBHF1|10.2|59,930|10.40|8.10
2020-02-26|NMBMF|1160|7,944|1,187.00|475.00
2020-02-26|NMFBS|2108|1,210|2,152.00|1,049.00
2020-02-26|NSEWA|935|3,572|952.00|368.00
2020-02-26|NTC|738|109,373|768.00|606.00
2020-02-26|NUBL|1202|19,475|1,248.00|693.00
2020-02-26|OHL|535|55,753|711.00|394.00
2020-02-26|PCBL|329|141,821|397.00|233.00
2020-02-26|PFL|169|9,251|176.00|127.00
2020-02-26|PIC|739|62,022|1,310.00|329.00
2020-02-26|PICL|583|15,293|784.00|349.00
2020-02-26|PLIC|715|70,021|728.00|297.00
2020-02-26|PMHPL|95|1,246|121.00|75.00
2020-02-26|PPCL|130|6,116|260.00|90.00
2020-02-26|PRIN|538|55,487|550.00|290.00
2020-02-26|PROFL|115|16,433|125.00|93.00
2020-02-26|PRVU|277|305,475|304.00|209.00
2020-02-26|RADHI|188|6,318|209.00|125.00
2020-02-26|RBCL|12431|2,322|12,431.00|7,840.00
2020-02-26|RBCLPO|11013|4,002|11,067.00|6,965.00
2020-02-26|RHPC|94|44,716|104.00|69.00
2020-02-26|RHPL|172|54,682|292.00|151.00
2020-02-26|RLFL|151|12,900|157.00|106.00
2020-02-26|RMDC|874|22,018|900.00|510.00
2020-02-26|RRHP|116|2,030|117.00|86.00
2020-02-26|RSDC|675|17,473|703.00|273.00
2020-02-26|SABSL|1000|4,583|1,050.00|302.00
2020-02-26|SADBL|181|50,528|188.00|132.00
2020-02-26|SAEF|10.01|98,750|10.21|8.20
2020-02-26|SANIMA|399|117,668|405.00|286.00
2020-02-26|SAPDBL|164|13,727|168.00|114.00
2020-02-26|SBI|493|50,056|530.00|344.00
2020-02-26|SBL|365|102,019|372.00|273.00
2020-02-26|SCB|770|50,971|770.00|520.00
2020-02-26|SDESI|1233|4,706|1,247.00|516.00
2020-02-26|SEF|10|91,600|10.30|8.55
